Champions Tour 2024: Americas Kickoff,All Stages,keznit,KRÜ Esports,0.91,0.73,1
Champions Tour 2024: Americas Kickoff,All Stages,zekken,Sentinels,0.86,0.71,2
Champions Tour 2024: Americas Kickoff,All Stages,aspas,LEVIATÁN,0.85,0.69,3
Champions Tour 2024: Americas Kickoff,All Stages,mwzera,FURIA,0.82,0.68,4
Champions Tour 2024: Americas Kickoff,All Stages,leaf,G2 Esports,0.81,0.7,5
Champions Tour 2024: Americas Kickoff,All Stages,OXY,Cloud9,0.79,0.83,6
Champions Tour 2024: Americas Kickoff,All Stages,Cryocells,100 Thieves,0.78,0.69,7
Champions Tour 2024: Americas Kickoff,All Stages,Apoth,Evil Geniuses,0.77,0.72,8
Champions Tour 2024: Americas Kickoff,All Stages,jzz,MIBR,0.77,0.72,8
Champions Tour 2024: Americas Kickoff,All Stages,Less,LOUD,0.76,0.61,10
Champions Tour 2024: Americas Stage 1,All Stages,OXY,Cloud9,1.01,0.8,1
Champions Tour 2024: Americas Stage 1,All Stages,aspas,LEVIATÁN,0.95,0.63,2
Champions Tour 2024: Americas Stage 1,All Stages,Cryocells,100 Thieves,0.88,0.65,3
Champions Tour 2024: Americas Stage 1,All Stages,keznit,KRÜ Esports,0.87,0.73,4
Champions Tour 2024: Americas Stage 1,All Stages,zekken,Sentinels,0.81,0.74,5
Champions Tour 2024: Americas Stage 1,All Stages,heat,KRÜ Esports,0.78,0.66,6
Champions Tour 2024: Americas Stage 1,All Stages,leaf,G2 Esports,0.78,0.68,7
Champions Tour 2024: Americas Stage 1,All Stages,Asuna,100 Thieves,0.78,0.69,8
Champions Tour 2024: Americas Stage 1,All Stages,valyn,G2 Esports,0.77,0.67,9
Champions Tour 2024: Americas Stage 1,All Stages,TenZ,Sentinels,0.75,0.68,10
Champions Tour 2024: Americas Stage 2,All Stages,aspas,LEVIATÁN,0.94,0.62,1
Champions Tour 2024: Americas Stage 2,All Stages,zekken,Sentinels,0.9,0.78,2
Champions Tour 2024: Americas Stage 2,All Stages,Mazino,LEVIATÁN,0.82,0.67,3
Champions Tour 2024: Americas Stage 2,All Stages,Cryocells,100 Thieves,0.82,0.73,4
Champions Tour 2024: Americas Stage 2,All Stages,mwzera,FURIA,0.82,0.82,5
Champions Tour 2024: Americas Stage 2,All Stages,OXY,Cloud9,0.82,0.82,5
Champions Tour 2024: Americas Stage 2,All Stages,jawgemo,Evil Geniuses,0.81,0.81,7
Champions Tour 2024: Americas Stage 2,All Stages,supamen,Evil Geniuses,0.79,0.73,8
Champions Tour 2024: Americas Stage 2,All Stages,keznit,KRÜ Esports,0.79,0.75,9
Champions Tour 2024: Americas Stage 2,All Stages,Khalil,FURIA,0.77,0.66,10
Champions Tour 2024: China Kickoff,All Stages,stew,JDG Esports,0.93,0.71,1
Champions Tour 2024: China Kickoff,All Stages,ZmjjKK,EDward Gaming,0.9,0.78,2
Champions Tour 2024: China Kickoff,All Stages,vo0kashu,Dragon Ranger Gaming,0.87,0.74,3
Champions Tour 2024: China Kickoff,All Stages,bunt,All Gamers,0.87,0.74,3
