aspas,LEVIATÁN,Champions Tour 2024: Americas Kickoff,All Stages,168,1
OXY,Cloud9,Champions Tour 2024: Americas Stage 1,All Stages,184,1
zekken,Sentinels,Champions Tour 2024: Americas Stage 2,All Stages,175,1
MiniBoo,Team Heretics,Champions Tour 2024: EMEA Kickoff,All Stages,171,1
nataNk,Gentle Mates,Champions Tour 2024: EMEA Stage 1,All Stages,156,1
Derke,FNATIC,Champions Tour 2024: EMEA Stage 2,All Stages,162,1
Life,FunPlus Phoenix,Champions Tour 2024: Masters Madrid,All Stages,164,1
Derke,FNATIC,Champions Tour 2024: Masters Shanghai,All Stages,170,1
t3xture,Gen.G,Champions Tour 2024: Pacific Kickoff,All Stages,164,1
Jremy,Team Secret,Champions Tour 2024: Pacific Stage 1,All Stages,156,1
primmie,Talon Esports,Champions Tour 2024: Pacific Stage 2,All Stages,175,1
Meteor,Gen.G,Valorant Champions 2024,All Stages,169,1
