zekken,Sentinels,Champions Tour 2024: Americas Kickoff,All Stages,186,24,1
OXY,Cloud9,Champions Tour 2024: Americas Stage 1,All Stages,186,29,1
aspas,LEVIATÁN,Champions Tour 2024: Americas Stage 2,All Stages,210,47,1
marteen,Karmine Corp,Champions Tour 2024: EMEA Kickoff,All Stages,140,18,1
Derke,FNATIC,Champions Tour 2024: EMEA Stage 1,All Stages,214,-10,1
Sayf,Team Vitality,Champions Tour 2024: EMEA Stage 2,All Stages,182,-5,1
zekken,Sentinels,Champions Tour 2024: Masters Madrid,All Stages,192,15,1
Wo0t,Team Heretics,Champions Tour 2024: Masters Shanghai,All Stages,236,33,1
t3xture,Gen.G,Champions Tour 2024: Pacific Kickoff,All Stages,140,11,1
t3xture,Gen.G,Champions Tour 2024: Pacific Stage 1,All Stages,260,35,1
t3xture,Gen.G,Champions Tour 2024: Pacific Stage 2,All Stages,198,30,1
ZmjjKK,EDward Gaming,Valorant Champions 2024,All Stages,210,19,1
