Champions Tour 2024: Americas Kickoff,Group Stage,Ascent,0.48,0.52
Champions Tour 2024: Americas Kickoff,Group Stage,Bind,0.44,0.56
Champions Tour 2024: Americas Kickoff,Group Stage,Breeze,0.65,0.35
Champions Tour 2024: Americas Kickoff,Group Stage,Icebox,0.47,0.53
Champions Tour 2024: Americas Kickoff,Group Stage,Lotus,0.46,0.54
Champions Tour 2024: Americas Kickoff,Group Stage,Split,0.48,0.52
Champions Tour 2024: Americas Kickoff,Group Stage,Sunset,0.53,0.47
Champions Tour 2024: Americas Kickoff,Play-Ins,Ascent,0.58,0.42
Champions Tour 2024: Americas Kickoff,Play-Ins,Breeze,0.44,0.56
Champions Tour 2024: Americas Kickoff,Play-Ins,Split,0.45,0.55
Champions Tour 2024: Americas Kickoff,Play-Ins,Sunset,0.40,0.60
Champions Tour 2024: Americas Kickoff,Playoffs,Ascent,0.61,0.39
Champions Tour 2024: Americas Kickoff,Playoffs,Bind,0.67,0.33
Champions Tour 2024: Americas Kickoff,Playoffs,Icebox,0.55,0.45
Champions Tour 2024: Americas Kickoff,Playoffs,Lotus,0.29,0.71
Champions Tour 2024: Americas Kickoff,Playoffs,Split,0.31,0.69
Champions Tour 2024: Americas Kickoff,Playoffs,Sunset,0.50,0.50
Champions Tour 2024: Americas Stage 1,Playoffs,Ascent,0.49,0.51
Champions Tour 2024: Americas Stage 1,Playoffs,Bind,0.41,0.59
Champions Tour 2024: Americas Stage 1,Playoffs,Breeze,0.50,0.50
Champions Tour 2024: Americas Stage 1,Playoffs,Icebox,0.58,0.42
Champions Tour 2024: Americas Stage 1,Playoffs,Lotus,0.54,0.46
Champions Tour 2024: Americas Stage 1,Playoffs,Split,0.71,0.29
Champions Tour 2024: Americas Stage 1,Playoffs,Sunset,0.65,0.35
Champions Tour 2024: Americas Stage 1,Regular Season,Ascent,0.31,0.69
Champions Tour 2024: Americas Stage 1,Regular Season,Bind,0.54,0.46
Champions Tour 2024: Americas Stage 1,Regular Season,Breeze,0.41,0.59
Champions Tour 2024: Americas Stage 1,Regular Season,Icebox,0.49,0.51
Champions Tour 2024: Americas Stage 1,Regular Season,Lotus,0.48,0.52
Champions Tour 2024: Americas Stage 1,Regular Season,Split,0.50,0.50
Champions Tour 2024: Americas Stage 1,Regular Season,Sunset,0.49,0.51
Champions Tour 2024: Americas Stage 2,Playoffs,Abyss,0.53,0.47
Champions Tour 2024: Americas Stage 2,Playoffs,Ascent,0.47,0.53
Champions Tour 2024: Americas Stage 2,Playoffs,Bind,0.34,0.66
Champions Tour 2024: Americas Stage 2,Playoffs,Haven,0.51,0.49
Champions Tour 2024: Americas Stage 2,Playoffs,Icebox,0.55,0.45
Champions Tour 2024: Americas Stage 2,Playoffs,Lotus,0.37,0.63
Champions Tour 2024: Americas Stage 2,Playoffs,Sunset,0.51,0.49
Champions Tour 2024: Americas Stage 2,Regular Season,Ascent,0.46,0.54
Champions Tour 2024: Americas Stage 2,Regular Season,Bind,0.53,0.47
Champions Tour 2024: Americas Stage 2,Regular Season,Haven,0.53,0.47
Champions Tour 2024: Americas Stage 2,Regular Season,Icebox,0.46,0.54
Champions Tour 2024: Americas Stage 2,Regular Season,Lotus,0.48,0.52
Champions Tour 2024: Americas Stage 2,Regular Season,Split,0.48,0.52
Champions Tour 2024: Americas Stage 2,Regular Season,Sunset,0.59,0.41
Champions Tour 2024: China Kickoff,Group Stage,Ascent,0.45,0.55
Champions Tour 2024: China Kickoff,Group Stage,Bind,0.57,0.43
Champions Tour 2024: China Kickoff,Group Stage,Breeze,0.63,0.38
Champions Tour 2024: China Kickoff,Group Stage,Icebox,0.57,0.43
Champions Tour 2024: China Kickoff,Group Stage,Lotus,0.48,0.52
Champions Tour 2024: China Kickoff,Group Stage,Split,0.41,0.59
Champions Tour 2024: China Kickoff,Group Stage,Sunset,0.55,0.45
Champions Tour 2024: China Kickoff,Play-Ins,Ascent,0.48,0.52
Champions Tour 2024: China Kickoff,Play-Ins,Bind,0.33,0.67
Champions Tour 2024: China Kickoff,Play-Ins,Breeze,0.58,0.42
Champions Tour 2024: China Kickoff,Play-Ins,Lotus,0.68,0.32
Champions Tour 2024: China Kickoff,Play-Ins,Split,0.67,0.33
Champions Tour 2024: China Kickoff,Play-Ins,Sunset,0.50,0.50
Champions Tour 2024: China Kickoff,Playoffs,Ascent,0.55,0.45
Champions Tour 2024: China Kickoff,Playoffs,Bind,0.53,0.47
Champions Tour 2024: China Kickoff,Playoffs,Breeze,0.51,0.49
Champions Tour 2024: China Kickoff,Playoffs,Icebox,0.38,0.62
Champions Tour 2024: China Kickoff,Playoffs,Split,0.58,0.42
Champions Tour 2024: China Kickoff,Playoffs,Sunset,0.58,0.42
Champions Tour 2024: China Stage 1,Playoffs,Ascent,0.45,0.55
Champions Tour 2024: China Stage 1,Playoffs,Bind,0.46,0.54
Champions Tour 2024: China Stage 1,Playoffs,Breeze,0.50,0.50
Champions Tour 2024: China Stage 1,Playoffs,Icebox,0.60,0.40
Champions Tour 2024: China Stage 1,Playoffs,Lotus,0.55,0.45
Champions Tour 2024: China Stage 1,Playoffs,Split,0.49,0.51
Champions Tour 2024: China Stage 1,Playoffs,Sunset,0.56,0.44
Champions Tour 2024: China Stage 1,Regular Season,Ascent,0.44,0.56
Champions Tour 2024: China Stage 1,Regular Season,Bind,0.47,0.53
Champions Tour 2024: China Stage 1,Regular Season,Breeze,0.57,0.43
Champions Tour 2024: China Stage 1,Regular Season,Icebox,0.48,0.52
Champions Tour 2024: China Stage 1,Regular Season,Lotus,0.51,0.49
Champions Tour 2024: China Stage 1,Regular Season,Split,0.50,0.50
Champions Tour 2024: China Stage 1,Regular Season,Sunset,0.55,0.45
Champions Tour 2024: China Stage 2,Playoffs,Abyss,0.55,0.45
Champions Tour 2024: China Stage 2,Playoffs,Ascent,0.45,0.55
Champions Tour 2024: China Stage 2,Playoffs,Bind,0.60,0.40
Champions Tour 2024: China Stage 2,Playoffs,Haven,0.51,0.49
Champions Tour 2024: China Stage 2,Playoffs,Icebox,0.55,0.45
Champions Tour 2024: China Stage 2,Playoffs,Lotus,0.58,0.42
Champions Tour 2024: China Stage 2,Playoffs,Sunset,0.46,0.54
Champions Tour 2024: China Stage 2,Regular Season,Ascent,0.48,0.52
Champions Tour 2024: China Stage 2,Regular Season,Bind,0.58,0.42
Champions Tour 2024: China Stage 2,Regular Season,Haven,0.47,0.53
Champions Tour 2024: China Stage 2,Regular Season,Icebox,0.49,0.51
Champions Tour 2024: China Stage 2,Regular Season,Lotus,0.53,0.47
Champions Tour 2024: China Stage 2,Regular Season,Split,0.65,0.35
Champions Tour 2024: China Stage 2,Regular Season,Sunset,0.52,0.48
Champions Tour 2024: EMEA Kickoff,Group Stage,Ascent,0.46,0.54
Champions Tour 2024: EMEA Kickoff,Group Stage,Bind,0.40,0.60
Champions Tour 2024: EMEA Kickoff,Group Stage,Breeze,0.43,0.57
Champions Tour 2024: EMEA Kickoff,Group Stage,Icebox,0.46,0.54
Champions Tour 2024: EMEA Kickoff,Group Stage,Lotus,0.46,0.54
Champions Tour 2024: EMEA Kickoff,Group Stage,Split,0.49,0.51
Champions Tour 2024: EMEA Kickoff,Group Stage,Sunset,0.62,0.38
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Ascent,0.58,0.42
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Bind,0.65,0.35
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Breeze,0.68,0.32
Champions Tour 2024: EMEA Kickoff,Play-In Stage,Sunset,0.42,0.58
Champions Tour 2024: EMEA Kickoff,Playoffs,Breeze,0.71,0.29
Champions Tour 2024: EMEA Kickoff,Playoffs,Icebox,0.45,0.55
Champions Tour 2024: EMEA Kickoff,Playoffs,Lotus,0.28,0.72
Champions Tour 2024: EMEA Kickoff,Playoffs,Split,0.51,0.49
Champions Tour 2024: EMEA Kickoff,Playoffs,Sunset,0.50,0.50
Champions Tour 2024: EMEA Stage 1,Playoffs,Ascent,0.21,0.79
Champions Tour 2024: EMEA Stage 1,Playoffs,Bind,0.54,0.46
Champions Tour 2024: EMEA Stage 1,Playoffs,Breeze,0.56,0.44
Champions Tour 2024: EMEA Stage 1,Playoffs,Icebox,0.34,0.66
Champions Tour 2024: EMEA Stage 1,Playoffs,Lotus,0.64,0.36
Champions Tour 2024: EMEA Stage 1,Playoffs,Split,0.48,0.52
Champions Tour 2024: EMEA Stage 1,Playoffs,Sunset,0.47,0.53
Champions Tour 2024: EMEA Stage 1,Regular Season,Ascent,0.46,0.54
Champions Tour 2024: EMEA Stage 1,Regular Season,Bind,0.52,0.48
Champions Tour 2024: EMEA Stage 1,Regular Season,Breeze,0.52,0.48
Champions Tour 2024: EMEA Stage 1,Regular Season,Icebox,0.50,0.50
Champions Tour 2024: EMEA Stage 1,Regular Season,Lotus,0.52,0.48
Champions Tour 2024: EMEA Stage 1,Regular Season,Split,0.57,0.43
Champions Tour 2024: EMEA Stage 1,Regular Season,Sunset,0.46,0.54
Champions Tour 2024: EMEA Stage 2,Playoffs,Abyss,0.43,0.57
Champions Tour 2024: EMEA Stage 2,Playoffs,Ascent,0.33,0.67
Champions Tour 2024: EMEA Stage 2,Playoffs,Bind,0.53,0.48
Champions Tour 2024: EMEA Stage 2,Playoffs,Haven,0.60,0.40
Champions Tour 2024: EMEA Stage 2,Playoffs,Icebox,0.57,0.43
Champions Tour 2024: EMEA Stage 2,Playoffs,Lotus,0.58,0.42
Champions Tour 2024: EMEA Stage 2,Playoffs,Sunset,0.50,0.50
Champions Tour 2024: EMEA Stage 2,Regular Season,Ascent,0.56,0.44
Champions Tour 2024: EMEA Stage 2,Regular Season,Bind,0.52,0.48
Champions Tour 2024: EMEA Stage 2,Regular Season,Breeze,0.38,0.63
Champions Tour 2024: EMEA Stage 2,Regular Season,Haven,0.44,0.56
Champions Tour 2024: EMEA Stage 2,Regular Season,Icebox,0.55,0.45
Champions Tour 2024: EMEA Stage 2,Regular Season,Lotus,0.57,0.43
Champions Tour 2024: EMEA Stage 2,Regular Season,Split,0.55,0.45
Champions Tour 2024: EMEA Stage 2,Regular Season,Sunset,0.54,0.46
Champions Tour 2024: Masters Madrid,Playoffs,Ascent,0.39,0.61
Champions Tour 2024: Masters Madrid,Playoffs,Bind,0.50,0.50
Champions Tour 2024: Masters Madrid,Playoffs,Breeze,0.51,0.49
Champions Tour 2024: Masters Madrid,Playoffs,Icebox,0.49,0.51
Champions Tour 2024: Masters Madrid,Playoffs,Lotus,0.55,0.45
Champions Tour 2024: Masters Madrid,Playoffs,Split,0.51,0.49
Champions Tour 2024: Masters Madrid,Playoffs,Sunset,0.54,0.46
Champions Tour 2024: Masters Madrid,Swiss Stage,Ascent,0.60,0.40
Champions Tour 2024: Masters Madrid,Swiss Stage,Bind,0.48,0.52
Champions Tour 2024: Masters Madrid,Swiss Stage,Breeze,0.39,0.61
Champions Tour 2024: Masters Madrid,Swiss Stage,Icebox,0.56,0.44
Champions Tour 2024: Masters Madrid,Swiss Stage,Lotus,0.41,0.59
Champions Tour 2024: Masters Madrid,Swiss Stage,Split,0.56,0.44
Champions Tour 2024: Masters Madrid,Swiss Stage,Sunset,0.49,0.51
Champions Tour 2024: Masters Shanghai,Playoffs,Ascent,0.44,0.56
Champions Tour 2024: Masters Shanghai,Playoffs,Bind,0.41,0.59
Champions Tour 2024: Masters Shanghai,Playoffs,Breeze,0.62,0.38
Champions Tour 2024: Masters Shanghai,Playoffs,Icebox,0.50,0.50
Champions Tour 2024: Masters Shanghai,Playoffs,Lotus,0.55,0.45
Champions Tour 2024: Masters Shanghai,Playoffs,Split,0.60,0.40
Champions Tour 2024: Masters Shanghai,Playoffs,Sunset,0.45,0.55
Champions Tour 2024: Masters Shanghai,Swiss Stage,Ascent,0.40,0.60
Champions Tour 2024: Masters Shanghai,Swiss Stage,Bind,0.48,0.52
Champions Tour 2024: Masters Shanghai,Swiss Stage,Breeze,0.57,0.43
Champions Tour 2024: Masters Shanghai,Swiss Stage,Icebox,0.33,0.67
Champions Tour 2024: Masters Shanghai,Swiss Stage,Lotus,0.46,0.54
Champions Tour 2024: Masters Shanghai,Swiss Stage,Split,0.67,0.33
Champions Tour 2024: Masters Shanghai,Swiss Stage,Sunset,0.59,0.41
Champions Tour 2024: Pacific Kickoff,Group Stage,Ascent,0.51,0.49
Champions Tour 2024: Pacific Kickoff,Group Stage,Bind,0.55,0.45
Champions Tour 2024: Pacific Kickoff,Group Stage,Breeze,0.43,0.57
Champions Tour 2024: Pacific Kickoff,Group Stage,Icebox,0.43,0.57
Champions Tour 2024: Pacific Kickoff,Group Stage,Lotus,0.47,0.53
Champions Tour 2024: Pacific Kickoff,Group Stage,Split,0.39,0.61
Champions Tour 2024: Pacific Kickoff,Group Stage,Sunset,0.47,0.53
Champions Tour 2024: Pacific Kickoff,Play-Ins,Ascent,0.71,0.29
Champions Tour 2024: Pacific Kickoff,Play-Ins,Breeze,0.50,0.50
Champions Tour 2024: Pacific Kickoff,Play-Ins,Icebox,0.37,0.63
Champions Tour 2024: Pacific Kickoff,Play-Ins,Lotus,0.77,0.23
Champions Tour 2024: Pacific Kickoff,Playoffs,Ascent,0.54,0.46
Champions Tour 2024: Pacific Kickoff,Playoffs,Bind,0.56,0.44
Champions Tour 2024: Pacific Kickoff,Playoffs,Lotus,0.49,0.51
Champions Tour 2024: Pacific Kickoff,Playoffs,Split,0.59,0.41
Champions Tour 2024: Pacific Stage 1,Playoffs,Ascent,0.41,0.59
Champions Tour 2024: Pacific Stage 1,Playoffs,Bind,0.51,0.49
Champions Tour 2024: Pacific Stage 1,Playoffs,Breeze,0.45,0.55
Champions Tour 2024: Pacific Stage 1,Playoffs,Icebox,0.46,0.54
Champions Tour 2024: Pacific Stage 1,Playoffs,Lotus,0.50,0.50
Champions Tour 2024: Pacific Stage 1,Playoffs,Split,0.29,0.71
Champions Tour 2024: Pacific Stage 1,Playoffs,Sunset,0.51,0.49
Champions Tour 2024: Pacific Stage 1,Regular Season,Ascent,0.52,0.48
Champions Tour 2024: Pacific Stage 1,Regular Season,Bind,0.47,0.53
Champions Tour 2024: Pacific Stage 1,Regular Season,Breeze,0.52,0.48
Champions Tour 2024: Pacific Stage 1,Regular Season,Icebox,0.52,0.48
Champions Tour 2024: Pacific Stage 1,Regular Season,Lotus,0.52,0.48
Champions Tour 2024: Pacific Stage 1,Regular Season,Split,0.49,0.51
Champions Tour 2024: Pacific Stage 1,Regular Season,Sunset,0.46,0.54
Champions Tour 2024: Pacific Stage 2,Playoffs,Abyss,0.56,0.44
Champions Tour 2024: Pacific Stage 2,Playoffs,Ascent,0.46,0.54
Champions Tour 2024: Pacific Stage 2,Playoffs,Bind,0.52,0.48
Champions Tour 2024: Pacific Stage 2,Playoffs,Haven,0.48,0.52
Champions Tour 2024: Pacific Stage 2,Playoffs,Icebox,0.45,0.55
Champions Tour 2024: Pacific Stage 2,Playoffs,Lotus,0.45,0.55
Champions Tour 2024: Pacific Stage 2,Playoffs,Sunset,0.56,0.44
Champions Tour 2024: Pacific Stage 2,Regular Season,Ascent,0.53,0.47
Champions Tour 2024: Pacific Stage 2,Regular Season,Bind,0.21,0.79
Champions Tour 2024: Pacific Stage 2,Regular Season,Breeze,0.29,0.71
Champions Tour 2024: Pacific Stage 2,Regular Season,Haven,0.56,0.44
Champions Tour 2024: Pacific Stage 2,Regular Season,Icebox,0.57,0.43
Champions Tour 2024: Pacific Stage 2,Regular Season,Lotus,0.58,0.42
Champions Tour 2024: Pacific Stage 2,Regular Season,Split,0.62,0.38
Champions Tour 2024: Pacific Stage 2,Regular Season,Sunset,0.47,0.53
Valorant Champions 2024,Group Stage,Abyss,0.55,0.45
Valorant Champions 2024,Group Stage,Ascent,0.46,0.54
Valorant Champions 2024,Group Stage,Bind,0.48,0.53
Valorant Champions 2024,Group Stage,Haven,0.45,0.55
Valorant Champions 2024,Group Stage,Icebox,0.55,0.45
Valorant Champions 2024,Group Stage,Lotus,0.58,0.42
Valorant Champions 2024,Group Stage,Sunset,0.50,0.50
Valorant Champions 2024,Playoffs,Abyss,0.55,0.45
Valorant Champions 2024,Playoffs,Bind,0.47,0.53
Valorant Champions 2024,Playoffs,Haven,0.52,0.48
Valorant Champions 2024,Playoffs,Icebox,0.45,0.55
Valorant Champions 2024,Playoffs,Lotus,0.46,0.54
Valorant Champions 2024,Playoffs,Sunset,0.39,0.61
