2ge,Champions Tour 2024: Pacific Stage 1,Regular Season,0.70,0.85,-0.15
2ge,Champions Tour 2024: Pacific Stage 2,All Stages,1.08,0.70,0.38
2ge,Champions Tour 2024: Pacific Stage 2,Playoffs,0.85,1.08,-0.23
2ge,Champions Tour 2024: Pacific Stage 2,Regular Season,1.14,0.70,0.44
AAAAY,Champions Tour 2024: China Kickoff,Group Stage,1.25,1.05,0.20
AAAAY,Champions Tour 2024: China Kickoff,Playoffs,1.09,1.05,0.04
AAAAY,Champions Tour 2024: China Stage 1,All Stages,1.12,1.16,-0.04
AAAAY,Champions Tour 2024: China Stage 1,Playoffs,1.05,1.09,-0.04
AAAAY,Champions Tour 2024: China Stage 1,Regular Season,1.14,1.05,0.09
AAAAY,Champions Tour 2024: China Stage 2,All Stages,1.03,1.12,-0.09
AAAAY,Champions Tour 2024: China Stage 2,Playoffs,1.05,1.05,0.00
AAAAY,Champions Tour 2024: China Stage 2,Regular Season,1.01,1.14,-0.13
AAAAY,Champions Tour 2024: Masters Madrid,All Stages,0.69,1.03,-0.34
AAAAY,Champions Tour 2024: Masters Madrid,Swiss Stage,0.69,1.01,-0.32
AAAAY,Champions Tour 2024: Masters Shanghai,All Stages,1.09,0.69,0.40
AAAAY,Champions Tour 2024: Masters Shanghai,Swiss Stage,1.09,0.69,0.40
AAAAY,Valorant Champions 2024,All Stages,1.05,1.09,-0.04
AAAAY,Valorant Champions 2024,Group Stage,1.05,1.25,-0.20
AAK,Champions Tour 2024: China Kickoff,Group Stage,0.83,0.68,0.15
AAK,Champions Tour 2024: China Stage 1,All Stages,1.12,0.83,0.29
AAK,Champions Tour 2024: China Stage 1,Regular Season,1.13,0.83,0.30
AAK,Champions Tour 2024: China Stage 2,All Stages,0.68,1.12,-0.44
AAK,Champions Tour 2024: China Stage 2,Regular Season,0.68,1.13,-0.45
Abo,Champions Tour 2024: China Kickoff,Group Stage,1.10,1.07,0.03
Abo,Champions Tour 2024: China Kickoff,Play-Ins,0.66,1.10,-0.44
Abo,Champions Tour 2024: China Stage 1,All Stages,0.83,0.92,-0.09
Abo,Champions Tour 2024: China Stage 1,Regular Season,0.87,0.66,0.21
Abo,Champions Tour 2024: China Stage 2,All Stages,1.07,0.83,0.24
Abo,Champions Tour 2024: China Stage 2,Regular Season,1.07,0.87,0.20
AC,Champions Tour 2024: China Stage 1,Regular Season,1.03,1.08,-0.05
AC,Champions Tour 2024: China Stage 2,All Stages,1.08,1.00,0.08
AC,Champions Tour 2024: China Stage 2,Regular Season,1.08,1.03,0.05
Alfajer,Champions Tour 2024: EMEA Kickoff,Group Stage,1.67,1.11,0.56
Alfajer,Champions Tour 2024: EMEA Kickoff,Playoffs,0.90,1.02,-0.12
Alfajer,Champions Tour 2024: EMEA Stage 1,All Stages,1.14,1.26,-0.12
Alfajer,Champions Tour 2024: EMEA Stage 1,Playoffs,1.10,0.90,0.20
Alfajer,Champions Tour 2024: EMEA Stage 1,Regular Season,1.19,1.20,-0.01
Alfajer,Champions Tour 2024: EMEA Stage 2,All Stages,1.27,1.14,0.13
Alfajer,Champions Tour 2024: EMEA Stage 2,Playoffs,1.30,1.10,0.20
Alfajer,Champions Tour 2024: EMEA Stage 2,Regular Season,1.24,1.19,0.05
Alfajer,Champions Tour 2024: Masters Shanghai,All Stages,1.10,1.27,-0.17
Alfajer,Champions Tour 2024: Masters Shanghai,Playoffs,1.10,1.30,-0.20
Alfajer,Valorant Champions 2024,All Stages,1.11,1.10,0.01
Alfajer,Valorant Champions 2024,Group Stage,1.02,1.67,-0.65
Alfajer,Valorant Champions 2024,Playoffs,1.20,1.10,0.10
aluba,Champions Tour 2024: China Kickoff,Group Stage,0.99,1.00,-0.01
aluba,Champions Tour 2024: China Stage 1,All Stages,0.91,0.99,-0.08
aluba,Champions Tour 2024: China Stage 1,Regular Season,0.85,0.99,-0.14
aluba,Champions Tour 2024: China Stage 2,All Stages,1.00,0.91,0.09
aluba,Champions Tour 2024: China Stage 2,Regular Season,1.00,0.85,0.15
ANGE1,Champions Tour 2024: EMEA Kickoff,Group Stage,0.78,0.72,0.06
ANGE1,Champions Tour 2024: EMEA Kickoff,Playoffs,0.76,0.78,-0.02
ANGE1,Champions Tour 2024: EMEA Stage 1,All Stages,0.88,0.77,0.11
ANGE1,Champions Tour 2024: EMEA Stage 1,Playoffs,0.69,0.76,-0.07
