Abyss,attacker,Paper Rex,87.50
Abyss,defender,LEVIATÁN,60.00
Ascent,attacker,Gentle Mates,70.59
Ascent,defender,FURIA,75.00
Bind,attacker,Evil Geniuses,68.75
Bind,defender,G2 Esports,63.58
Breeze,attacker,Karmine Corp,66.67
Breeze,attacker,TYLOO,66.67
Breeze,defender,100 Thieves,76.92
Haven,attacker,Natus Vincere,77.78
Haven,defender,Dragon Ranger Gaming,75.00
Icebox,attacker,Gentle Mates,66.67
Icebox,defender,Nova Esports,66.67
Lotus,attacker,EDward Gaming,63.37
Lotus,defender,KOI,75.00
Split,attacker,All Gamers,66.67
Split,attacker,Paper Rex,66.67
Split,defender,Sentinels,65.38
Sunset,attacker,Titan Esports Club,61.90
Sunset,defender,Team Heretics,61.16
