Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,Abyss,100 Thieves,"sova, omen, jett, cypher, gekko"
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Final,Ascent,100 Thieves,"omen, kayo, jett, sova, killjoy"
Champions Tour 2024: Americas Stage 1,Regular Season,Week 3,Ascent,100 Thieves,"omen, killjoy, sova, jett, kayo"
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,Ascent,100 Thieves,"omen, sova, jett, killjoy, kayo"
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,Ascent,100 Thieves,"killjoy, sova, jett, omen, kayo"
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Ascent,100 Thieves,"omen, killjoy, sova, jett, kayo"
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Ascent,100 Thieves,"omen, sova, killjoy, jett, kayo"
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Ascent,100 Thieves,"killjoy, sova, jett, kayo, omen"
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Bind,100 Thieves,"viper, raze, fade, brimstone, gekko"
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Bind,100 Thieves,"viper, raze, gekko, fade, brimstone"
Champions Tour 2024: Americas Stage 1,Playoffs,Grand Final,Bind,100 Thieves,"viper, raze, gekko, brimstone, fade"
Champions Tour 2024: Americas Stage 1,Playoffs,Knockout Round,Bind,100 Thieves,"viper, raze, gekko, brimstone, fade"
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Final,Bind,100 Thieves,"raze, viper, fade, gekko, brimstone"
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Semifinals,Bind,100 Thieves,"gekko, viper, raze, brimstone, fade"
Champions Tour 2024: Americas Stage 1,Regular Season,Week 2,Bind,100 Thieves,"viper, raze, fade, gekko, brimstone"
Champions Tour 2024: Americas Stage 1,Regular Season,Week 3,Bind,100 Thieves,"viper, raze, gekko, fade, brimstone"
Champions Tour 2024: Americas Stage 1,Regular Season,Week 5,Bind,100 Thieves,"viper, raze, gekko, brimstone, fade"
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Bind,100 Thieves,"viper, raze, gekko, fade, brimstone"
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Bind,100 Thieves,"viper, raze, fade, gekko, brimstone"
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Bind,100 Thieves,"raze, viper, fade, brimstone, gekko"
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 3,Bind,100 Thieves,"raze, gekko, fade, brimstone, viper"
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Bind,100 Thieves,"viper, raze, gekko, brimstone, fade"
Champions Tour 2024: Americas Stage 1,Playoffs,Grand Final,Breeze,100 Thieves,"viper, cypher, sova, kayo, jett"
Champions Tour 2024: Americas Stage 1,Regular Season,Week 4,Breeze,100 Thieves,"viper, cypher, kayo, sova, jett"
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 2,Breeze,100 Thieves,"viper, kayo, sova, cypher, jett"
Champions Tour 2024: Americas Stage 2,Playoffs,Knockout Round,Haven,100 Thieves,"omen, sova, cypher, yoru, iso"
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,Haven,100 Thieves,"omen, killjoy, sova, jett, kayo"
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Haven,100 Thieves,"omen, sova, killjoy, jett, kayo"
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Icebox,100 Thieves,"viper, sova, gekko, killjoy, jett"
Champions Tour 2024: Americas Stage 1,Playoffs,Knockout Round,Icebox,100 Thieves,"viper, killjoy, jett, sova, gekko"
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Semifinals,Icebox,100 Thieves,"gekko, viper, sova, killjoy, jett"
Champions Tour 2024: Americas Stage 1,Regular Season,Week 1,Icebox,100 Thieves,"viper, sova, killjoy, jett, gekko"
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,Icebox,100 Thieves,"killjoy, viper, sova, jett, gekko"
Champions Tour 2024: Americas Stage 2,Regular Season,Week 1,Icebox,100 Thieves,"killjoy, sova, gekko, viper, jett"
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Icebox,100 Thieves,"viper, sova, killjoy, gekko, jett"
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 2,Icebox,100 Thieves,"viper, gekko, sova, jett, killjoy"
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Quarterfinals,Icebox,100 Thieves,"viper, gekko, killjoy, sova, jett"
Champions Tour 2024: Masters Shanghai,Playoffs,Upper Semifinals,Icebox,100 Thieves,"killjoy, sova, jett, viper, gekko"
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Lotus,100 Thieves,"viper, raze, fade, omen, chamber"
Champions Tour 2024: Americas Stage 2,Playoffs,Lower Round 1,Lotus,100 Thieves,"killjoy, viper, omen, fade, raze"
Champions Tour 2024: Americas Stage 2,Playoffs,Upper Semifinals,Lotus,100 Thieves,"viper, omen, killjoy, raze, fade"
Champions Tour 2024: Americas Stage 2,Regular Season,Week 3,Lotus,100 Thieves,"omen, killjoy, viper, raze, fade"
Champions Tour 2024: Americas Stage 2,Regular Season,Week 4,Lotus,100 Thieves,"omen, raze, viper, fade, killjoy"
Champions Tour 2024: Americas Kickoff,Group Stage,Elimination (B),Split,100 Thieves,"viper, raze, fade, gekko, astra"
Champions Tour 2024: Americas Kickoff,Group Stage,Opening (B),Split,100 Thieves,"viper, raze, gekko, fade, astra"
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Final,Split,100 Thieves,"raze, viper, fade, gekko, astra"
Champions Tour 2024: Americas Stage 1,Regular Season,Week 1,Split,100 Thieves,"viper, raze, gekko, fade, astra"
Champions Tour 2024: Americas Stage 1,Regular Season,Week 2,Split,100 Thieves,"viper, raze, fade, gekko, astra"
Champions Tour 2024: Americas Stage 1,Regular Season,Week 4,Split,100 Thieves,"viper, raze, gekko, fade, astra"
Champions Tour 2024: Americas Stage 1,Regular Season,Week 5,Split,100 Thieves,"viper, raze, gekko, fade, astra"
Champions Tour 2024: Americas Stage 2,Regular Season,Week 2,Split,100 Thieves,"viper, raze, breach, fade, astra"
Champions Tour 2024: Americas Stage 1,Playoffs,Grand Final,Sunset,100 Thieves,"cypher, raze, gekko, sova, omen"
Champions Tour 2024: Americas Stage 1,Playoffs,Upper Semifinals,Sunset,100 Thieves,"gekko, sova, raze, omen, cypher"
Champions Tour 2024: Americas Stage 1,Regular Season,Week 4,Sunset,100 Thieves,"raze, omen, cypher, gekko, sova"
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 2,Sunset,100 Thieves,"raze, gekko, omen, cypher, fade"
Champions Tour 2024: Masters Shanghai,Playoffs,Lower Round 3,Sunset,100 Thieves,"raze, gekko, fade, omen, cypher"
Champions Tour 2024: China Kickoff,Group Stage,Opening (B),Ascent,All Gamers,"sova, omen, killjoy, jett, reyna"
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Ascent,All Gamers,"omen, jett, sova, kayo, killjoy"
Champions Tour 2024: China Stage 1,Regular Season,Week 3,Bind,All Gamers,"viper, raze, gekko, brimstone, skye"
Champions Tour 2024: China Stage 1,Regular Season,Week 4,Bind,All Gamers,"viper, raze, skye, gekko, brimstone"
Champions Tour 2024: China Stage 1,Playoffs,Knockout Round,Breeze,All Gamers,"sova, cypher, viper, yoru, harbor"
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Breeze,All Gamers,"viper, cypher, sova, yoru, harbor"
Champions Tour 2024: China Stage 1,Regular Season,Week 2,Breeze,All Gamers,"viper, cypher, sova, yoru, harbor"
Champions Tour 2024: China Stage 2,Regular Season,Week 3,Haven,All Gamers,"omen, jett, sova, cypher, breach"
Champions Tour 2024: China Stage 2,Regular Season,Week 4,Haven,All Gamers,"omen, jett, sova, breach, cypher"
Champions Tour 2024: China Kickoff,Group Stage,Elimination (B),Icebox,All Gamers,"viper, raze, harbor, killjoy, kayo"
Champions Tour 2024: China Stage 1,Regular Season,Week 1,Icebox,All Gamers,"viper, raze, killjoy, kayo, harbor"
